COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,270.3001464128843,64.33235724743777,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,643,614,683
5.0,5001.0,1,236.9433962264151,45.679245283018865,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,44,39,53
5.0,5001.0,1,236.84615384615384,44.96153846153846,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,15,14,26
5.0,5001.0,1,240.51923076923077,47.32692307692308,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,86,76,104
5.0,5001.0,1,266.3592233009709,62.95145631067961,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,101,94,103
5.0,5001.0,1,240.24561403508773,48.05263157894737,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,46,40,57
5.0,5001.0,1,224.04,36.82,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,45,30,50
5.0,5001.0,1,237.29032258064515,45.096774193548384,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,46,39,62
5.0,5001.0,1,209.22727272727272,27.772727272727273,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,16,8,22
5.0,5001.0,1,245.90322580645162,50.81720430107527,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,84,71,93
5.0,5001.0,1,243.10714285714286,49.32142857142857,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,22,20,28
5.0,5001.0,1,244.70909090909092,50.10909090909091,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,48,42,55
5.0,5001.0,1,221.33846153846153,34.86153846153846,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,56,32,65
5.0,5001.0,1,246.88372093023256,51.372093023255815,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,33,25,43
5.0,5001.0,1,225.94545454545454,37.58181818181818,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,50,35,55
5.0,5001.0,1,265.0,65.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0,1
5.0,5001.0,1,243.25,49.583333333333336,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7,51,45,60
5.0,5001.0,1,241.6031746031746,48.23809523809524,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,62,41,63
5.0,5001.0,1,262.40425531914894,60.97872340425532,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,44,39,47
5.0,5001.0,1,238.4891304347826,46.33695652173913,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,77,59,92
5.0,5001.0,1,217.2265625,32.91015625,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8,202,136,256
