code_dept,code_muni,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,cole_privado,cole_publico,cole_urbano,cole_rural,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,rural_share,privado_share
15,15755,1,257.85,57.0,0,1,1,0,0,15,22,40,0.0,37.5,55.00000000000001,0.0,0.0
15,15757,2,247.56359649122805,50.5,0,2,2,0,0,56,43,93,0.0,60.215053763440864,46.236559139784944,0.0,0.0
15,15759,30,264.9572037966381,60.333333333333336,15,15,26,4,0,1584,1389,1801,0.0,87.95113825652415,77.12382009994447,13.333333333333334,50.0
15,15761,2,246.91666666666666,51.0,0,2,1,1,0,24,19,32,0.0,75.0,59.375,50.0,0.0
15,15762,1,239.5897435897436,46.0,0,1,1,0,0,7,8,39,0.0,17.94871794871795,20.51282051282051,0.0,0.0
15,15763,1,263.5581395348837,62.0,0,1,1,0,0,21,19,43,0.0,48.837209302325576,44.18604651162791,0.0,0.0
15,15764,1,258.4102564102564,58.0,0,1,1,0,0,51,29,78,0.0,65.38461538461539,37.17948717948718,0.0,0.0
15,15774,1,245.625,47.0,0,1,1,0,0,4,9,16,0.0,25.0,56.25,0.0,0.0
15,15776,1,242.55882352941177,48.0,0,1,1,0,0,24,14,34,0.0,70.58823529411765,41.17647058823529,0.0,0.0
15,15778,2,226.21666666666664,38.0,0,2,1,1,0,19,14,40,0.0,47.5,35.0,50.0,0.0
15,15790,1,253.58333333333331,55.0,0,1,1,0,0,8,12,24,0.0,33.33333333333333,50.0,0.0,0.0
15,15798,1,267.03333333333336,62.0,0,1,1,0,0,20,14,30,0.0,66.66666666666666,46.666666666666664,0.0,0.0
15,15804,1,250.42857142857144,52.0,0,1,1,0,0,20,21,63,0.0,31.746031746031743,33.33333333333333,0.0,0.0
15,15806,2,260.4237348538845,59.5,0,2,1,1,0,65,65,107,0.0,60.747663551401864,60.747663551401864,50.0,0.0
15,15808,1,257.84615384615387,57.0,0,1,1,0,0,19,13,26,0.0,73.07692307692307,50.0,0.0,0.0
15,15810,1,274.32,68.0,0,1,1,0,0,18,8,25,0.0,72.0,32.0,0.0,0.0
15,15814,3,248.11068660022147,51.666666666666664,0,3,0,3,0,51,37,97,0.0,52.57731958762887,38.144329896907216,100.0,0.0
15,15816,1,243.34782608695653,48.0,0,1,1,0,0,20,15,46,0.0,43.47826086956522,32.608695652173914,0.0,0.0
15,15820,2,254.39930555555554,55.0,0,2,1,1,0,11,11,25,0.0,44.0,44.0,50.0,0.0
15,15822,1,237.3018867924528,45.0,0,1,1,0,0,7,21,53,0.0,13.20754716981132,39.62264150943396,0.0,0.0
15,15832,1,235.16666666666663,42.0,0,1,1,0,0,3,6,18,0.0,16.666666666666664,33.33333333333333,0.0,0.0
15,15835,2,263.7694805194805,60.0,0,2,2,0,0,39,52,108,0.0,36.11111111111111,48.148148148148145,0.0,0.0
15,15837,4,263.8871511821512,61.0,0,4,0,3,0,58,43,123,0.0,47.15447154471545,34.959349593495936,75.0,0.0
15,15839,2,235.21428571428572,44.5,0,2,1,1,0,3,6,16,0.0,18.75,37.5,50.0,0.0
15,15842,2,242.95000000000002,47.5,0,2,1,1,0,26,25,50,0.0,52.0,50.0,50.0,0.0
15,15861,4,249.81610929637026,52.75,0,4,1,3,0,107,73,204,0.0,52.450980392156865,35.78431372549019,75.0,0.0
15,15879,1,240.5625,47.0,0,1,1,0,0,4,2,16,0.0,25.0,12.5,0.0,0.0
15,15897,2,240.21650943396224,46.0,0,2,1,1,0,30,24,73,0.0,41.0958904109589,32.87671232876712,50.0,0.0
17,17001,64,261.3651909097874,56.734375,19,45,53,10,3,3272,2777,3728,0.08047210300429185,87.76824034334764,74.49034334763948,15.625,29.6875
17,17013,8,244.61832074586107,49.75,0,8,5,3,0,142,93,224,0.0,63.39285714285714,41.517857142857146,37.5,0.0
17,17042,5,247.5778321537815,51.6,1,4,4,1,2,155,102,222,0.9009009009009009,69.81981981981981,45.94594594594595,20.0,20.0
17,17050,3,238.54342694342697,45.333333333333336,0,3,2,1,0,86,60,167,0.0,51.49700598802395,35.92814371257485,33.33333333333333,0.0
17,17088,2,230.01326100060282,40.0,0,2,1,1,1,54,34,100,1.0,54.0,34.0,50.0,0.0
17,17174,8,249.02321017450097,52.625,2,6,6,2,0,362,306,441,0.0,82.08616780045351,69.38775510204081,25.0,25.0
17,17272,2,237.73363095238093,45.5,0,2,2,0,1,32,29,69,1.4492753623188406,46.3768115942029,42.028985507246375,0.0,0.0
17,17380,13,235.48740723926454,42.30769230769231,5,8,10,3,4,485,315,632,0.6329113924050633,76.74050632911393,49.84177215189873,23.076923076923077,38.46153846153847
17,17388,3,229.02356902356902,40.0,0,3,1,2,0,38,27,66,0.0,57.57575757575758,40.909090909090914,66.66666666666666,0.0
17,17433,7,234.63349467992325,42.285714285714285,0,7,2,5,0,127,84,170,0.0,74.70588235294117,49.411764705882355,71.42857142857143,0.0
17,17442,4,218.519777265745,33.25,0,4,0,3,50,43,29,67,74.6268656716418,64.17910447761194,43.28358208955223,75.0,0.0
17,17444,4,240.67069393739902,47.0,0,4,3,1,0,65,53,129,0.0,50.3875968992248,41.08527131782946,25.0,0.0
17,17446,2,219.86397058823528,33.5,0,2,1,1,0,16,20,33,0.0,48.484848484848484,60.60606060606061,50.0,0.0
17,17486,6,242.43352250099562,47.5,0,6,2,4,0,127,92,195,0.0,65.12820512820512,47.179487179487175,66.66666666666666,0.0
17,17495,1,224.52702702702703,37.0,0,1,1,0,0,43,35,74,0.0,58.108108108108105,47.2972972972973,0.0,0.0
17,17513,6,239.94706947726294,46.166666666666664,0,6,3,3,0,85,60,144,0.0,59.02777777777778,41.66666666666667,50.0,0.0
17,17524,4,234.64568100565103,42.0,0,4,1,3,11,113,74,169,6.508875739644971,66.86390532544378,43.786982248520715,75.0,0.0
17,17541,7,235.57753863806622,43.0,0,7,2,5,0,99,66,194,0.0,51.03092783505154,34.02061855670103,71.42857142857143,0.0
17,17614,9,223.61047260162164,36.111111111111114,0,9,3,6,306,266,200,469,65.2452025586354,56.71641791044776,42.643923240938165,66.66666666666666,0.0
17,17616,2,236.58333333333331,44.0,0,2,1,1,0,47,28,93,0.0,50.53763440860215,30.107526881720432,50.0,0.0
17,17653,6,243.47649536298658,48.666666666666664,0,6,4,2,0,87,57,119,0.0,73.10924369747899,47.89915966386555,33.33333333333333,0.0
17,17662,7,232.87212996694203,41.857142857142854,0,7,1,6,0,90,59,193,0.0,46.63212435233161,30.569948186528496,85.71428571428571,0.0
17,17665,1,226.9152542372881,38.0,0,1,1,0,1,21,15,59,1.694915254237288,35.59322033898305,25.423728813559322,0.0,0.0
17,17777,5,224.2117995746189,36.4,0,5,3,2,120,180,108,306,39.21568627450981,58.82352941176471,35.294117647058826,40.0,0.0
17,17867,1,227.46666666666667,39.0,0,1,1,0,1,31,21,45,2.2222222222222223,68.88888888888889,46.666666666666664,0.0,0.0
17,17873,9,276.3119890847038,59.333333333333336,3,6,3,6,1,306,264,373,0.2680965147453083,82.03753351206434,70.77747989276139,66.66666666666666,33.33333333333333
17,17877,3,230.5484892787524,41.0,0,3,2,1,0,95,68,135,0.0,70.37037037037037,50.37037037037037,33.33333333333333,0.0
18,18001,26,243.9789308202073,47.96153846153846,7,19,22,4,2,967,762,1248,0.16025641025641024,77.48397435897436,61.057692307692314,15.384615384615385,26.923076923076923
18,18029,1,226.28571428571428,38.0,0,1,1,0,0,18,5,35,0.0,51.42857142857142,14.285714285714285,0.0,0.0
18,18094,3,227.14316239316238,39.0,0,3,2,1,2,46,26,95,2.1052631578947367,48.421052631578945,27.368421052631582,33.33333333333333,0.0
18,18150,4,219.0611432072829,33.5,0,4,2,2,0,115,58,188,0.0,61.170212765957444,30.851063829787233,50.0,0.0
18,18205,2,198.75,22.0,0,2,1,1,0,42,26,72,0.0,58.333333333333336,36.11111111111111,50.0,0.0
18,18247,5,237.0734126984127,44.6,0,5,4,1,1,142,83,222,0.45045045045045046,63.96396396396396,37.38738738738739,20.0,0.0
18,18256,2,242.08989104116222,47.5,0,2,1,1,1,45,33,87,1.1494252873563218,51.724137931034484,37.93103448275862,50.0,0.0
18,18410,3,219.99600925390402,34.0,0,3,1,2,0,35,23,80,0.0,43.75,28.749999999999996,66.66666666666666,0.0
18,18460,4,211.79335370511842,28.75,0,4,1,3,12,22,14,46,26.08695652173913,47.82608695652174,30.434782608695656,75.0,0.0
18,18479,1,223.68421052631575,37.0,0,1,1,0,0,11,10,19,0.0,57.89473684210527,52.63157894736842,0.0,0.0
18,18592,6,219.0121992699519,32.833333333333336,0,6,2,4,2,80,46,160,1.25,50.0,28.749999999999996,66.66666666666666,0.0
18,18610,3,228.70424020424022,39.666666666666664,0,3,2,1,1,61,43,89,1.1235955056179776,68.53932584269663,48.31460674157304,33.33333333333333,0.0
18,18753,7,224.33272130826478,37.0,0,7,4,3,0,198,125,287,0.0,68.98954703832753,43.55400696864111,42.857142857142854,0.0
18,18756,2,204.42045454545456,24.0,0,2,1,1,8,17,9,37,21.62162162162162,45.94594594594595,24.324324324324326,50.0,0.0
18,18785,2,217.14008620689657,32.5,0,2,1,1,0,21,11,37,0.0,56.75675675675676,29.72972972972973,50.0,0.0
18,18860,3,230.68271604938272,39.666666666666664,0,3,1,2,1,22,16,42,2.380952380952381,52.38095238095239,38.095238095238095,66.66666666666666,0.0
19,19001,61,268.2003803827379,54.459016393442624,30,31,56,5,117,2337,1970,2753,4.249909189974574,84.8892117689793,71.55830003632401,8.19672131147541,49.18032786885246
19,19022,2,225.55584415584417,37.0,0,2,2,0,0,21,20,76,0.0,27.631578947368425,26.31578947368421,0.0,0.0
19,19050,5,229.20254515599345,40.0,1,4,2,3,0,63,32,105,0.0,60.0,30.476190476190478,60.0,20.0
19,19075,4,212.00360828108674,29.25,0,4,0,4,22,75,32,147,14.965986394557824,51.02040816326531,21.768707482993197,100.0,0.0
19,19100,9,226.03820721042908,37.22222222222222,0,9,3,6,5,117,65,300,1.6666666666666667,39.0,21.666666666666668,66.66666666666666,0.0
19,19110,6,201.79817449860926,23.5,0,6,1,5,126,76,36,151,83.44370860927152,50.331125827814574,23.841059602649008,83.33333333333334,0.0
19,19130,9,220.5581435731548,34.44444444444444,1,8,1,8,28,59,53,200,14.000000000000002,29.5,26.5,88.88888888888889,11.11111111111111
19,19137,5,215.26004833089806,31.0,0,5,1,3,152,64,64,217,70.04608294930875,29.493087557603687,29.493087557603687,60.0,0.0
19,19142,9,204.34489425006666,24.444444444444443,1,8,3,6,101,108,81,187,54.01069518716578,57.75401069518716,43.31550802139038,66.66666666666666,11.11111111111111
19,19212,4,226.84347976478728,38.0,0,4,3,1,28,173,113,222,12.612612612612612,77.92792792792793,50.9009009009009,25.0,0.0
19,19256,12,224.39452923460274,34.916666666666664,3,9,4,8,9,108,68,220,4.090909090909091,49.09090909090909,30.909090909090907,66.66666666666666,25.0
19,19290,1,235.8048780487805,44.0,0,1,1,0,0,19,5,41,0.0,46.34146341463415,12.195121951219512,0.0,0.0
19,19300,3,207.55128205128207,26.333333333333332,0,3,1,2,97,61,26,115,84.34782608695653,53.04347826086957,22.608695652173914,66.66666666666666,0.0
19,19318,4,192.3267565359477,16.75,0,4,4,0,217,81,48,217,100.0,37.327188940092164,22.119815668202765,0.0,0.0
19,19355,8,247.8334401497085,50.75,0,8,2,6,38,62,60,175,21.714285714285715,35.42857142857142,34.285714285714285,75.0,0.0
19,19364,3,199.82264957264957,21.333333333333332,0,3,1,2,88,39,39,88,100.0,44.31818181818182,44.31818181818182,66.66666666666666,0.0
19,19392,2,233.55263157894734,42.5,0,2,1,1,1,29,21,57,1.7543859649122806,50.877192982456144,36.84210526315789,50.0,0.0
19,19397,6,228.6370573870574,39.0,0,6,1,5,20,23,31,126,15.873015873015872,18.253968253968253,24.6031746031746,83.33333333333334,0.0
19,19418,4,185.36951754385967,14.0,0,4,1,3,52,29,14,59,88.13559322033898,49.152542372881356,23.728813559322035,75.0,0.0
19,19450,4,229.9297435897436,40.5,0,4,1,3,6,59,29,101,5.9405940594059405,58.415841584158414,28.71287128712871,75.0,0.0
19,19455,6,229.51888166335064,39.666666666666664,0,6,3,3,29,216,154,302,9.602649006622517,71.52317880794702,50.993377483443716,50.0,0.0
19,19473,5,216.10541549953314,32.2,0,5,1,4,17,41,32,129,13.178294573643413,31.782945736434108,24.8062015503876,80.0,0.0
19,19513,2,196.05237711522966,20.5,0,2,1,1,73,44,35,90,81.11111111111111,48.888888888888886,38.88888888888889,50.0,0.0
19,19517,9,217.46370419512834,32.333333333333336,0,9,0,9,131,45,51,146,89.72602739726028,30.82191780821918,34.93150684931507,100.0,0.0
19,19532,7,219.8062225303266,29.428571428571427,1,6,3,4,175,144,91,220,79.54545454545455,65.45454545454545,41.36363636363637,57.14285714285714,14.285714285714285
19,19548,9,230.0387214198637,40.0,2,7,4,5,6,161,143,282,2.127659574468085,57.09219858156028,50.70921985815603,55.55555555555556,22.22222222222222
19,19573,13,209.9759435529245,26.384615384615383,7,6,13,0,365,345,276,443,82.39277652370203,77.87810383747178,62.30248306997742,0.0,53.84615384615385
19,19585,5,224.7746898263027,37.6,0,5,2,3,82,43,43,96,85.41666666666666,44.79166666666667,44.79166666666667,60.0,0.0
19,19622,4,227.56532258064516,38.5,0,4,1,3,0,19,15,46,0.0,41.30434782608695,32.608695652173914,75.0,0.0
19,19693,3,216.9043771043771,31.333333333333332,0,3,1,2,15,14,11,35,42.857142857142854,40.0,31.428571428571427,66.66666666666666,0.0
19,19698,22,234.40800266097165,41.81818181818182,6,16,12,10,236,540,394,714,33.0532212885154,75.63025210084034,55.182072829131656,45.45454545454545,27.27272727272727
19,19701,3,238.70454545454547,45.666666666666664,0,3,1,2,1,7,7,25,4.0,28.000000000000004,28.000000000000004,66.66666666666666,0.0
19,19743,8,221.8891302910053,35.375,0,8,3,5,141,43,63,178,79.21348314606742,24.15730337078652,35.39325842696629,62.5,0.0
19,19760,4,235.92428698752227,43.25,0,4,1,3,10,15,10,47,21.27659574468085,31.914893617021278,21.27659574468085,75.0,0.0
19,19780,4,200.99964349739244,22.25,0,4,1,3,85,55,40,107,79.43925233644859,51.4018691588785,37.38317757009346,75.0,0.0
